
## METRICS CLASS	org.broadinstitute.dropseqrna.readtrimming.PolyATrimmer$TrimMetric
mean	stdev
26.03401	13.240397

## HISTOGRAM	java.lang.Integer
BIN	VALUE
0	137444
1	95888
2	72578
3	41999
4	77734
5	187910
6	82981
7	125824
8	72728
9	91152
10	111513
11	91244
12	147514
13	117843
14	157338
15	127123
16	147935
17	125728
18	189610
19	134556
20	121479
21	124016
22	84020
23	125128
24	89794
25	102936
26	168378
27	146764
28	154624
29	163552
30	126975
31	110534
32	104937
33	145194
34	131865
35	213319
36	160596
37	297754
38	205596
39	380097
40	270484
41	132094
42	132828
43	195861
44	487802

