
## METRICS CLASS	org.broadinstitute.dropseqrna.readtrimming.PolyATrimmer$TrimMetric
mean	stdev
23.22043	13.576076

## HISTOGRAM	java.lang.Integer
BIN	VALUE
0	286067
1	157564
2	125073
3	86682
4	128766
5	191218
6	115291
7	208048
8	120878
9	130031
10	157339
11	124918
12	234703
13	151685
14	270280
15	176552
16	192503
17	162509
18	229665
19	167152
20	151615
21	149925
22	103544
23	147300
24	130531
25	116276
26	195477
27	157277
28	197433
29	168145
30	138627
31	109125
32	111516
33	144359
34	132405
35	212818
36	154456
37	263274
38	177851
39	294967
40	275516
41	111855
42	133181
43	163212
44	475277

